Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,
23-03-2023,RELIANCE,EQ,2276.6,2268,2269.9,2243.05,2247.6,2247.8,2253.68,7499082,1.69006E+15,187678,5254204,0.7006,
24-03-2023,RELIANCE,EQ,2247.8,2245.25,2250,2198,2204.9,2203.3,2221.83,5711497,1.269E+15,231777,3521704,0.6166,1000
